sample_num,image_size,filter_size,function,time,info
sample3,512,5,normalize,0.031883,"Wrote out/sample3_M512_normalize_N5.png (size 512x512) in 0.003389 s"
sample3,512,7,edge,0.042544,"Wrote out/sample3_M512_edge_N7.png (size 512x512) in 0.018691 s"
sample3,512,7,resize,0.027496,"Wrote out/sample3_M512_resize_N7.png (size 170x170) in 0.019196 s"
sample3,512,7,normalize,0.031698,"Wrote out/sample3_M512_normalize_N7.png (size 512x512) in 0.003250 s"
sample3,1024,3,edge,0.116385,"Wrote out/sample3_M1024_edge_N3.png (size 1024x1024) in 0.013815 s"
sample3,1024,3,resize,0.122376,"Wrote out/sample3_M1024_resize_N3.png (size 1024x1024) in 0.022326 s"
sample3,1024,3,normalize,0.115891,"Wrote out/sample3_M1024_normalize_N3.png (size 1024x1024) in 0.013118 s"
sample3,1024,5,edge,0.139564,"Wrote out/sample3_M1024_edge_N5.png (size 1024x1024) in 0.042392 s"
sample3,1024,5,resize,0.085739,"Wrote out/sample3_M1024_resize_N5.png (size 512x512) in 0.044644 s"
sample3,1024,5,normalize,0.117063,"Wrote out/sample3_M1024_normalize_N5.png (size 1024x1024) in 0.013236 s"
sample3,1024,7,edge,0.166484,"Wrote out/sample3_M1024_edge_N7.png (size 1024x1024) in 0.075466 s"
sample3,1024,7,resize,0.106971,"Wrote out/sample3_M1024_resize_N7.png (size 341x341) in 0.077213 s"
sample3,1024,7,normalize,0.120564,"Wrote out/sample3_M1024_normalize_N7.png (size 1024x1024) in 0.013505 s"